자치구,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,노인여가복지시설(3644),노인요양시설(241),노인요양공동생활가정시설(246),요양시설_총합,보건소(76),의료기관(19189),시설_총합(19265),사회복지예산(1224.9),계(9594329),65세+(1894245),인구밀도(15857),의료기관_총합,Medical,Care,Leisure,BurdenIndex
강남구,13.8,14.4,15.5,16.5,17.5,18.7,20.3,21.8,22.5,23.4,24.0,25.1,26.1,27.3,28.5,29.7,30.9,32.0,33.4,35.0,187.0,8.0,3.0,11.0,9.0,2988.0,3195.0,912.3,562382.0,94359.0,14255.0,2997.0,5.32911793051698,0.11657605527824585,1.9817929397301794,28.672727272727272
강동구,14.8,15.8,17.1,18.4,19.8,20.8,22.3,24.2,25.9,27.4,28.4,30.1,31.3,32.8,33.9,35.2,36.4,37.7,39.1,40.8,141.0,10.0,13.0,23.0,9.0,897.0,1070.0,1178.3,503987.0,96798.0,19580.0,906.0,1.7976654159730312,0.23760821504576543,1.4566416661501271,33.91818181818183
강북구,21.6,22.4,23.8,24.8,26.4,28.3,30.3,32.1,34.1,36.3,38.2,40.8,42.7,45.0,46.7,48.7,50.7,52.6,54.8,57.5,103.0,10.0,22.0,32.0,9.0,477.0,621.0,1651.8,286607.0,73692.0,12262.0,486.0,1.695701779789049,0.43423980893448405,1.3977093850078706,46.72727272727273
강서구,15.3,15.8,16.7,17.6,18.8,20.4,21.8,23.4,25.0,26.9,28.0,29.9,31.3,32.9,34.0,35.5,36.7,38.0,39.5,41.3,221.0,21.0,10.0,31.0,9.0,953.0,1214.0,1337.9,557177.0,111714.0,13563.0,962.0,1.7265608594755346,0.27749431584224,1.9782659290688724,34.0
관악구,15.6,16.1,17.1,17.6,18.4,19.6,20.6,21.3,22.2,23.3,24.6,26.1,27.3,28.7,29.8,31.1,32.2,33.3,34.6,36.0,116.0,9.0,18.0,27.0,9.0,721.0,873.0,1160.9,497998.0,92116.0,16761.0,730.0,1.4658693408407264,0.2931086890442486,1.2592817751530678,29.727272727272734
광진구,13.6,14.1,14.9,15.6,16.5,17.9,18.9,20.2,21.2,22.7,24.0,25.6,26.9,28.6,29.8,31.2,32.6,33.9,35.4,37.0,99.0,8.0,11.0,19.0,9.0,588.0,715.0,1060.4,349963.0,62240.0,20437.0,597.0,1.7058946231458756,0.30526992287917737,1.5906169665809768,29.79090909090909
구로구,16.0,16.9,18.2,19.4,20.8,22.5,24.2,25.7,27.5,29.5,31.1,33.3,35.0,37.3,38.9,40.7,42.4,44.0,45.8,47.9,209.0,11.0,4.0,15.0,9.0,610.0,843.0,1274.3,409707.0,87340.0,20473.0,619.0,1.510835792407745,0.1717426150675521,2.3929471032745595,38.71818181818182
금천구,15.9,16.7,17.8,18.7,19.9,21.4,22.7,24.0,25.9,28.0,29.5,31.7,33.6,36.0,37.9,39.9,41.9,43.7,45.6,47.8,78.0,14.0,8.0,22.0,9.0,366.0,475.0,1530.6,237847.0,50102.0,18362.0,375.0,1.5766438088350916,0.4391042273761526,1.5568240788790868,37.78181818181818
노원구,15.8,16.4,17.7,18.7,20.2,22.0,23.5,25.2,26.7,28.5,29.8,31.9,33.6,35.6,37.2,39.0,40.7,42.5,44.5,46.9,244.0,12.0,12.0,24.0,15.0,761.0,1044.0,1500.7,490739.0,103864.0,14011.0,776.0,1.5812886279672085,0.23107140106292845,2.3492259108064393,37.29090909090908
도봉구,18.7,19.6,21.3,22.7,24.2,26.5,28.6,31.0,33.4,35.9,37.9,40.9,43.1,45.8,47.8,50.2,52.6,55.0,57.5,60.7,137.0,21.0,31.0,52.0,6.0,381.0,576.0,1411.6,303770.0,77440.0,14820.0,387.0,1.273990189946341,0.6714876033057852,1.7691115702479339,47.945454545454545
동대문구,18.2,18.8,19.7,20.2,21.2,22.5,23.5,24.3,25.0,26.2,27.0,28.5,29.6,31.0,32.2,33.5,34.7,35.9,37.2,38.9,140.0,7.0,16.0,23.0,6.0,624.0,793.0,1250.9,364828.0,72029.0,25218.0,630.0,1.7268411415790454,0.3193158311235752,1.9436615807521969,32.24545454545454
동작구,16.7,17.3,18.2,19.0,19.8,21.3,22.5,23.5,24.5,25.7,26.8,28.4,29.5,31.0,32.1,33.4,34.5,35.7,37.0,38.7,152.0,6.0,4.0,10.0,9.0,605.0,776.0,1140.7,385786.0,75563.0,23691.0,614.0,1.591555940339981,0.13233990180379288,2.0115665074176516,32.07272727272727
마포구,16.0,16.0,16.7,17.0,17.4,18.2,18.9,19.6,20.5,21.4,21.9,23.0,23.9,24.9,25.6,26.6,27.5,28.4,29.5,30.8,158.0,3.0,0.0,3.0,9.0,788.0,958.0,1094.0,370471.0,61682.0,15629.0,797.0,2.151315487582024,0.048636555234914565,2.561525242372167,25.772727272727273
서대문구,19.0,18.7,19.2,19.8,20.4,21.5,22.3,23.0,23.8,25.1,26.2,27.8,29.0,30.3,31.4,32.7,33.8,35.0,36.3,37.9,122.0,9.0,2.0,11.0,12.0,446.0,591.0,1248.7,317826.0,62082.0,18073.0,458.0,1.4410400659480345,0.17718501336941467,1.9651428755516898,31.40909090909091
서울특별시,16.3,16.8,17.8,18.6,19.7,21.1,22.4,23.8,25.1,26.6,27.7,29.4,30.7,32.3,33.5,35.0,36.3,37.6,39.1,40.9,,,,,,,,,,,,,,,,33.554545454545455
서초구,14.9,15.4,16.3,17.2,18.0,19.3,20.5,22.0,23.1,24.2,24.8,26.0,27.0,28.1,29.0,30.2,31.2,32.2,33.5,35.1,145.0,4.0,1.0,5.0,9.0,1495.0,1654.0,875.9,417288.0,71482.0,8794.0,1504.0,3.604225379114664,0.06994767913600626,2.028482694944182,29.20909090909091
성동구,16.3,16.6,17.1,17.5,18.5,19.7,21.0,22.4,23.6,24.9,25.7,27.2,28.4,29.7,30.8,31.9,33.1,34.0,35.3,36.8,166.0,4.0,4.0,8.0,12.0,481.0,667.0,1198.5,282288.0,52896.0,16684.0,493.0,1.7464433486368531,0.15124016938898974,3.138233514821537,30.70909090909091
성북구,17.8,18.1,19.1,19.8,20.3,21.8,22.8,23.7,25.0,26.3,27.2,28.8,30.0,31.3,32.5,33.8,35.0,36.3,37.7,39.5,183.0,19.0,5.0,24.0,12.0,560.0,779.0,1224.4,437922.0,86899.0,17706.0,572.0,1.306168678440453,0.276182694852645,2.1058930482514184,32.58181818181818
송파구,13.6,14.2,15.3,16.2,17.2,18.7,20.3,21.8,23.2,24.7,25.7,27.3,28.6,30.1,31.2,32.5,33.7,34.9,36.3,38.0,181.0,9.0,14.0,23.0,6.0,1263.0,1473.0,965.0,652094.0,118155.0,19372.0,1269.0,1.9460384545786342,0.19465955736109347,1.5318860818416487,31.181818181818183
