자치구,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
서울특별시,16.3,16.8,17.8,18.6,19.7,21.1,22.4,23.8,25.1,26.6,27.7,29.4,30.7,32.3,33.5,35.0,36.3,37.6,39.1,40.9
종로구,18.6,19.2,19.7,19.9,20.9,22.3,23.2,24.0,25.1,26.6,27.4,29.2,30.6,32.1,33.4,34.6,35.9,37.1,38.6,40.2
중구,19.0,19.0,19.7,19.9,20.9,22.4,24.0,25.6,26.1,27.4,28.7,30.4,31.7,33.5,34.8,36.3,37.6,38.9,40.5,42.2
용산구,19.0,18.9,19.4,19.3,19.9,20.6,21.6,22.7,23.8,24.9,25.4,26.6,27.5,28.5,29.1,29.9,30.6,31.4,32.4,33.8
성동구,16.3,16.6,17.1,17.5,18.5,19.7,21.0,22.4,23.6,24.9,25.7,27.2,28.4,29.7,30.8,31.9,33.1,34.0,35.3,36.8
광진구,13.6,14.1,14.9,15.6,16.5,17.9,18.9,20.2,21.2,22.7,24.0,25.6,26.9,28.6,29.8,31.2,32.6,33.9,35.4,37.0
동대문구,18.2,18.8,19.7,20.2,21.2,22.5,23.5,24.3,25.0,26.2,27.0,28.5,29.6,31.0,32.2,33.5,34.7,35.9,37.2,38.9
중랑구,17.2,17.9,19.2,20.3,21.8,23.4,25.1,26.8,28.7,30.8,32.1,34.4,36.3,38.4,40.0,41.9,43.6,45.4,47.3,49.6
성북구,17.8,18.1,19.1,19.8,20.3,21.8,22.8,23.7,25.0,26.3,27.2,28.8,30.0,31.3,32.5,33.8,35.0,36.3,37.7,39.5
강북구,21.6,22.4,23.8,24.8,26.4,28.3,30.3,32.1,34.1,36.3,38.2,40.8,42.7,45.0,46.7,48.7,50.7,52.6,54.8,57.5
도봉구,18.7,19.6,21.3,22.7,24.2,26.5,28.6,31.0,33.4,35.9,37.9,40.9,43.1,45.8,47.8,50.2,52.6,55.0,57.5,60.7
노원구,15.8,16.4,17.7,18.7,20.2,22.0,23.5,25.2,26.7,28.5,29.8,31.9,33.6,35.6,37.2,39.0,40.7,42.5,44.5,46.9
은평구,18.9,19.6,20.8,21.8,22.9,24.1,25.7,27.1,28.5,30.3,31.2,32.9,34.3,36.0,37.3,38.8,40.3,41.9,43.5,45.7
서대문구,19.0,18.7,19.2,19.8,20.4,21.5,22.3,23.0,23.8,25.1,26.2,27.8,29.0,30.3,31.4,32.7,33.8,35.0,36.3,37.9
마포구,16.0,16.0,16.7,17.0,17.4,18.2,18.9,19.6,20.5,21.4,21.9,23.0,23.9,24.9,25.6,26.6,27.5,28.4,29.5,30.8
양천구,13.8,14.5,15.7,16.8,18.0,19.5,21.2,23.0,24.8,26.7,28.0,30.2,31.8,33.7,35.2,36.9,38.5,40.1,41.8,44.0
강서구,15.3,15.8,16.7,17.6,18.8,20.4,21.8,23.4,25.0,26.9,28.0,29.9,31.3,32.9,34.0,35.5,36.7,38.0,39.5,41.3
구로구,16.0,16.9,18.2,19.4,20.8,22.5,24.2,25.7,27.5,29.5,31.1,33.3,35.0,37.3,38.9,40.7,42.4,44.0,45.8,47.9
금천구,15.9,16.7,17.8,18.7,19.9,21.4,22.7,24.0,25.9,28.0,29.5,31.7,33.6,36.0,37.9,39.9,41.9,43.7,45.6,47.8
영등포구,16.2,16.8,17.9,18.4,19.3,20.3,21.4,22.6,23.7,24.9,26.1,27.5,28.6,30.2,31.4,32.7,33.9,35.0,36.2,37.9
동작구,16.7,17.3,18.2,19.0,19.8,21.3,22.5,23.5,24.5,25.7,26.8,28.4,29.5,31.0,32.1,33.4,34.5,35.7,37.0,38.7
관악구,15.6,16.1,17.1,17.6,18.4,19.6,20.6,21.3,22.2,23.3,24.6,26.1,27.3,28.7,29.8,31.1,32.2,33.3,34.6,36.0
서초구,14.9,15.4,16.3,17.2,18.0,19.3,20.5,22.0,23.1,24.2,24.8,26.0,27.0,28.1,29.0,30.2,31.2,32.2,33.5,35.1
강남구,13.8,14.4,15.5,16.5,17.5,18.7,20.3,21.8,22.5,23.4,24.0,25.1,26.1,27.3,28.5,29.7,30.9,32.0,33.4,35.0
송파구,13.6,14.2,15.3,16.2,17.2,18.7,20.3,21.8,23.2,24.7,25.7,27.3,28.6,30.1,31.2,32.5,33.7,34.9,36.3,38.0
강동구,14.8,15.8,17.1,18.4,19.8,20.8,22.3,24.2,25.9,27.4,28.4,30.1,31.3,32.8,33.9,35.2,36.4,37.7,39.1,40.8
